I1,I2,I3,R1,R2,R3
4,6,3,6,11,2
24,24,28,17,48,12
4,10,12,8,11,2
2,1,1,4,1,0
12770,12998,13713,12315,14764,5314
132,145,111,460,439,195
16,21,26,34,38,12
0,10,1,1,2,1
42,72,67,46,57,19
195,144,309,225,296,32
338,354,374,262,359,115
443,473,552,495,711,243
3,3,2,3,6,1
530,533,431,1174,1320,442
614,627,742,577,763,235
137,164,188,176,282,86
55,69,67,52,73,29
838,868,1129,920,1326,362
32,42,50,6,18,4
61,88,92,81,106,35
419,402,349,229,232,77
32,51,36,41,56,12
935,1144,1224,986,1242,385
522,520,681,573,745,297
2,3,4,2,2,2
2043,2260,3045,2896,4439,979
17616,19584,19730,15610,18166,6778
120,120,106,93,141,47
11,21,23,76,61,25
13,15,18,29,34,12
1007,1128,1279,999,1295,434
287,310,380,104,209,38
524833,697914,564897,620763,573660,238211
21,24,42,22,42,9
13,20,18,14,25,9
2,0,3,2,7,0
16,25,28,19,42,13
